department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
BIT,2405,Quantitative Methods,Nottingham,81245,3,2.46,32,6.3,53.1,31.3,0.0,9.4,9
BIT,2405,Quantitative Methods,Jones,81246,3,2.99,147,29.3,44.9,23.1,2.0,0.7,4
BIT,2405,Quantitative Methods,Nottingham,81247,3,2.35,119,6.7,36.1,47.1,7.6,2.5,20
BIT,2406,Quantitative Methods,Teets,81248,3,3.25,121,43.8,38.8,16.5,0.8,0.0,0
BIT,2406,Quantitative Methods,Teets,81249,3,3.04,130,29.2,50.0,18.5,1.5,0.8,2
BIT,2406,Quantitative Methods,Teets,81250,3,2.95,118,28.8,44.9,21.2,4.2,0.8,0
BIT,2406,Quantitative Methods,Teets,81251,3,2.70,99,26.3,33.3,28.3,8.1,4.0,4
BIT,3414,Operations & Supply Chain Mgt,Clark,81253,3,2.83,87,16.1,57.5,19.5,5.7,1.1,6
BIT,3414,Operations & Supply Chain Mgt,Clark,81254,3,2.93,101,26.7,46.5,22.8,2.0,2.0,6
BIT,3414,Operations & Supply Chain Mgt,Matheson,81255,3,2.93,83,30.1,42.2,22.9,4.8,0.0,1
BIT,3414,Operations & Supply Chain Mgt,Clark,81256,3,3.04,62,33.9,43.5,22.6,0.0,0.0,4
BIT,3414,Operations & Supply Chain Mgt,Clark,81257,3,2.62,142,14.1,44.4,32.4,8.5,0.7,4
BIT,3414,Operations & Supply Chain Mgt,Li,81259,3,3.20,61,42.6,41.0,14.8,0.0,1.6,1
BIT,3424,Intro Bus Analytics Modeling,Seref,81260,3,3.95,129,95.3,3.9,0.8,0.0,0.0,1
BIT,3424,Intro Bus Analytics Modeling,Abrahams,81261,3,3.32,20,45.0,45.0,5.0,5.0,0.0,0
BIT,3434,Adv Modeling for Bus Analytics,Badinelli,81262,3,3.33,54,40.7,51.9,5.6,1.9,0.0,3
BIT,3444,Adv Bus Comp and App,Seref,81264,3,3.12,56,41.1,44.6,7.1,3.6,3.6,4
BIT,3444,Adv Bus Comp and App,Seref,81265,3,3.15,59,37.3,45.8,13.6,0.0,3.4,2
BIT,3454,Business Process Improvement,Cook,81266,3,2.72,58,15.5,51.7,29.3,1.7,1.7,1
BIT,3464,Enterprise Planning & Control,Khansa,81267,3,2.77,54,16.7,63.0,7.4,7.4,5.6,1
BIT,4434,Comp Sim In Bus,Rees,81269,3,3.62,97,76.3,17.5,4.1,0.0,2.1,1
BIT,4434,Comp Sim In Bus,Rees,81270,3,3.64,50,76.0,20.0,2.0,0.0,2.0,0
BIT,4444,Web-Based DSS,Wang,81271,3,3.58,44,65.9,29.5,2.3,2.3,0.0,0
BIT,4444,Web-Based DSS,Wang,81272,3,3.32,85,45.9,43.5,10.6,0.0,0.0,1
