department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
BIT,2405,Quantitative Methods,Jones,11282,3,2.83,84,31.0,35.7,23.8,8.3,1.2,4
BIT,2405,Quantitative Methods,Jones,11283,3,2.83,82,32.9,36.6,14.6,11.0,4.9,4
BIT,2406,Quantitative Methods,Teets,11284,3,3.24,109,35.8,56.0,8.3,0.0,0.0,1
BIT,2406,Quantitative Methods,Teets,11285,3,3.27,133,41.4,49.6,8.3,0.8,0.0,0
BIT,2406,Quantitative Methods,Teets,11286,3,3.37,103,40.8,53.4,5.8,0.0,0.0,0
BIT,2406,Quantitative Methods,Nottingham,11287,3,2.57,68,17.6,38.2,35.3,5.9,2.9,16
BIT,2406,Quantitative Methods,Nottingham,11288,3,2.26,57,7.0,35.1,40.4,12.3,5.3,8
BIT,2406,Quantitative Methods,Teets,11289,3,3.20,126,29.4,60.3,10.3,0.0,0.0,0
BIT,3414,Operations & Supply Chain Mgt,Clark,11290,3,2.85,58,22.4,50.0,19.0,8.6,0.0,1
BIT,3414,Operations & Supply Chain Mgt,Clark,11291,3,2.82,92,17.4,48.9,29.3,4.3,0.0,6
BIT,3414,Operations & Supply Chain Mgt,Clark,11292,3,2.96,36,30.6,50.0,11.1,5.6,2.8,2
BIT,3414,Operations & Supply Chain Mgt,Clark,11293,3,2.73,105,23.8,41.0,25.7,5.7,3.8,4
BIT,3424,Intro Bus Analytics Modeling,Ragsdale,11295,3,3.11,68,36.8,47.1,11.8,1.5,2.9,0
BIT,3424,Intro Bus Analytics Modeling,Seref,11296,3,3.68,42,85.7,9.5,2.4,0.0,2.4,1
BIT,3434,Adv Modeling for Bus Analytics,Badinelli,11297,3,3.13,63,33.3,52.4,9.5,3.2,1.6,0
BIT,3434,Adv Modeling for Bus Analytics,Ragsdale,11298,3,3.55,49,63.3,34.7,2.0,0.0,0.0,1
BIT,3434,Adv Modeling for Bus Analytics,Badinelli,11299,3,3.36,50,46.0,42.0,10.0,2.0,0.0,0
BIT,3444,Adv Bus Comp and App,Seref,11300,3,3.41,74,52.7,39.2,5.4,2.7,0.0,2
BIT,3444,Adv Bus Comp and App,Seref,11301,3,3.26,36,44.4,36.1,16.7,2.8,0.0,0
BIT,3444,Adv Bus Comp and App,Wang,11302,3,3.17,54,38.9,48.1,7.4,5.6,0.0,5
BIT,3454,Business Process Improvement,Cook,11303,3,2.94,107,27.1,50.5,17.8,4.7,0.0,2
BIT,4434,Comp Sim In Bus,Rees,11305,3,3.69,114,77.2,19.3,3.5,0.0,0.0,0
BIT,4444,Web-Based DSS,Rees,11306,3,3.51,46,60.9,34.8,4.3,0.0,0.0,0
BIT,4454,Bus Analysis Seminar in IT,Abrahams,11307,3,3.71,56,73.2,26.8,0.0,0.0,0.0,0
BIT,4464,Adv Supply Chain Mgt,Cook,11308,3,2.72,54,14.8,51.9,27.8,3.7,1.9,1
BIT,4474,Global Ops & Info Technology,Matheson,11309,3,3.57,78,67.9,25.6,6.4,0.0,0.0,0
BIT,4484,Project Management,Deane,11311,3,3.28,39,35.9,56.4,5.1,0.0,2.6,0
BIT,4484,Project Management,Deane,11312,3,3.39,84,47.6,46.4,6.0,0.0,0.0,1
BIT,4524,Systems Development,Tegarden,11314,3,2.99,52,23.1,57.7,19.2,0.0,0.0,1
BIT,4554,Networks & Telecomm Business,Rakes,11315,3,3.57,87,62.1,31.0,6.9,0.0,0.0,3
BIT,4614,Information Security,James,11316,3,3.49,12,66.7,33.3,0.0,0.0,0.0,0
BIT,5414,POM in a Global Environment,Hoopes,11320,3,3.85,15,93.3,0.0,6.7,0.0,0.0,0
BIT,5474,Computer-Based Dec Sup Sys,Major,11321,3,3.80,21,76.2,23.8,0.0,0.0,0.0,0
BIT,5495,DSS Design and Implementation,Matheson,11323,3,4.00,16,100.0,0.0,0.0,0.0,0.0,0
BIT,5604,Mod Decis Mkng for Comp Advntg,Rashidi,11324,2,3.84,12,91.7,8.3,0.0,0.0,0.0,0
BIT,5644,Mgt of Info for Bus Decisions,Abrahams,11325,2,3.69,12,66.7,33.3,0.0,0.0,0.0,0
BIT,5724,Managerial Statistics,Major,11327,3,3.56,26,61.5,34.6,0.0,0.0,3.8,0
BIT,6414,Seminar in Information Tech,Wang,11332,3,4.00,10,100.0,0.0,0.0,0.0,0.0,0
BIT,3424,Intro Bus Analytics Modeling,Seref,18801,3,3.70,43,79.1,16.3,4.7,0.0,0.0,0
BIT,3464,Enterprise Planning & Control,Russell,18802,3,3.08,88,31.8,54.5,9.1,4.5,0.0,1
BIT,4454,Bus Analysis Seminar in IT,Abrahams,18803,3,3.71,37,75.7,24.3,0.0,0.0,0.0,0
BIT,4514,Database Technology for Bus,Zobel,18804,3,3.00,27,25.9,55.6,14.8,3.7,0.0,0
BIT,4524,Systems Development,Tegarden,18805,3,3.41,40,45.0,55.0,0.0,0.0,0.0,1
BIT,4554,Networks & Telecomm Business,Rakes,18806,3,3.75,36,80.6,16.7,2.8,0.0,0.0,0
BIT,3464,Enterprise Planning & Control,Russell,18807,3,3.34,32,56.3,31.3,9.4,3.1,0.0,0
BIT,2405,Quantitative Methods,Jones,18810,3,3.16,93,43.0,35.5,17.2,2.2,2.2,8
BIT,2405,Quantitative Methods,Jones,18811,3,3.20,107,44.9,37.4,14.0,3.7,0.0,5
BIT,5534,Applied Bus Intel & Analytics,Major,18815,3,3.13,21,42.9,38.1,14.3,4.8,0.0,0
BIT,2406,Quantitative Methods,Taylor,19754,3,3.18,40,25.0,62.5,12.5,0.0,0.0,2
