department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
BIT,2405,Quantitative Methods,Jones,11316,3,3.19,84,40.5,40.5,16.7,1.2,1.2,5
BIT,2405,Quantitative Methods,Jones,11317,3,3.18,100,43.0,36.0,17.0,4.0,0.0,1
BIT,2405,Quantitative Methods,Jones,11318,3,3.01,96,31.3,40.6,25.0,2.1,1.0,6
BIT,2405,Quantitative Methods,Jones,11319,3,2.81,91,26.4,38.5,27.5,4.4,3.3,3
BIT,2405,Quantitative Methods,Nottingham,11320,3,2.72,10,30.0,30.0,40.0,0.0,0.0,3
BIT,2406,Quantitative Methods,Matheson,11321,3,3.16,54,38.9,42.6,18.5,0.0,0.0,1
BIT,2406,Quantitative Methods,Teets,11322,3,3.20,95,37.9,51.6,9.5,1.1,0.0,5
BIT,2406,Quantitative Methods,Teets,11323,3,3.26,104,45.2,37.5,16.3,1.0,0.0,1
BIT,2406,Quantitative Methods,Teets,11324,3,3.45,96,56.3,37.5,5.2,0.0,1.0,4
BIT,2406,Quantitative Methods,Taylor,11325,3,3.11,35,22.9,62.9,14.3,0.0,0.0,4
BIT,2406,Quantitative Methods,Matheson,11326,3,3.20,68,33.8,55.9,10.3,0.0,0.0,1
BIT,2406,Quantitative Methods,Teets,11327,3,3.31,105,44.8,43.8,10.5,1.0,0.0,2
BIT,3414,Operations & Supply Chain Mgt,Clark,11328,3,3.01,132,34.8,34.8,28.0,2.3,0.0,1
BIT,3414,Operations & Supply Chain Mgt,Clark,11329,3,3.05,69,31.9,47.8,17.4,1.4,1.4,2
BIT,3414,Operations & Supply Chain Mgt,Clark,11330,3,3.18,92,34.8,52.2,12.0,1.1,0.0,1
BIT,3414,Operations & Supply Chain Mgt,Clark,11331,3,2.89,73,23.3,49.3,24.7,2.7,0.0,4
BIT,3424,Intro Bus Analytics Modeling,Seref,11332,3,3.82,37,89.2,8.1,2.7,0.0,0.0,2
BIT,3424,Intro Bus Analytics Modeling,Seref,11333,3,3.87,58,96.6,1.7,0.0,0.0,1.7,2
BIT,3424,Intro Bus Analytics Modeling,Rakes,11334,3,3.66,54,79.6,11.1,9.3,0.0,0.0,0
BIT,3434,Adv Modeling for Bus Analytics,Ragsdale,11335,3,3.64,77,72.7,24.7,2.6,0.0,0.0,0
BIT,3434,Adv Modeling for Bus Analytics,Ragsdale,11336,3,3.38,56,50.0,41.1,7.1,0.0,1.8,0
BIT,3434,Adv Modeling for Bus Analytics,Rakes,11338,3,3.89,73,91.8,6.8,1.4,0.0,0.0,1
BIT,3444,Adv Bus Comp and App,Seref,11339,3,3.69,83,71.1,28.9,0.0,0.0,0.0,2
BIT,3444,Adv Bus Comp and App,Seref,11340,3,3.49,53,67.9,18.9,11.3,1.9,0.0,0
BIT,3444,Adv Bus Comp and App,Badinelli,11341,3,3.12,81,34.6,56.8,3.7,3.7,1.2,3
BIT,3454,Business Process Improvement,Cook,11343,3,3.07,65,33.8,47.7,15.4,3.1,0.0,0
BIT,3464,Enterprise Planning & Control,Khansa,11344,3,3.21,51,52.9,27.5,11.8,5.9,2.0,0
BIT,3464,Enterprise Planning & Control,Khansa,11345,3,3.31,30,43.3,46.7,6.7,3.3,0.0,0
BIT,4434,Comp Sim In Bus,Rees,11348,3,3.51,94,64.9,26.6,6.4,2.1,0.0,0
BIT,4444,Web-Based DSS,Zobel,11349,3,3.10,46,37.0,43.5,13.0,6.5,0.0,0
BIT,4454,Bus Analysis Seminar in IT,Abrahams,11350,3,3.76,80,78.8,18.8,2.5,0.0,0.0,0
BIT,4454,Bus Analysis Seminar in IT,Abrahams,11351,3,3.77,51,82.4,13.7,3.9,0.0,0.0,0
BIT,4464,Adv Supply Chain Mgt,Cook,11352,3,2.98,69,23.2,56.5,15.9,2.9,1.4,0
BIT,4474,Global Ops & Info Technology,Russell,11353,3,3.21,55,29.1,61.8,9.1,0.0,0.0,1
BIT,4484,Project Management,Deane,11354,3,3.16,46,28.3,63.0,8.7,0.0,0.0,1
BIT,4484,Project Management,Fernandez,11355,3,3.66,31,64.5,35.5,0.0,0.0,0.0,0
BIT,4514,Database Technology for Bus,Zobel,11356,3,3.07,30,30.0,43.3,26.7,0.0,0.0,0
BIT,4524,Systems Development,Tegarden,11358,3,3.37,19,47.4,47.4,5.3,0.0,0.0,1
BIT,4524,Systems Development,Shen,11359,3,3.56,45,57.8,42.2,0.0,0.0,0.0,1
BIT,4524,Systems Development,Tegarden,11360,3,3.29,74,39.2,47.3,13.5,0.0,0.0,1
BIT,4554,Networks & Telecomm Business,Shen,11361,3,3.04,56,19.6,64.3,16.1,0.0,0.0,1
BIT,4554,Networks & Telecomm Business,Shen,11362,3,3.19,74,32.4,55.4,12.2,0.0,0.0,0
BIT,4614,Information Security,James,11363,3,3.51,12,75.0,8.3,16.7,0.0,0.0,1
BIT,5414,Global Operations Management,Hoopes,11367,3,3.78,38,84.2,13.2,2.6,0.0,0.0,0
BIT,5494,Intl Operations and Info Tech,Hoopes,11369,3,3.98,24,100.0,0.0,0.0,0.0,0.0,0
BIT,5534,Applied Bus Intel & Analytics,Major,11371,3,3.44,22,54.5,40.9,0.0,4.5,0.0,0
BIT,5594,Web Apps & Elec Com,Ghandforoush,11372,3,3.42,76,55.3,39.5,2.6,1.3,1.3,0
BIT,5724,Managerial Statistics,Major,11377,3,2.70,22,27.3,31.8,22.7,18.2,0.0,0
BIT,5404,Decision Modeling & Analytics,Major,18188,3,3.35,30,46.7,43.3,10.0,0.0,0.0,0
BIT,5484,Cognitive Comp Smart Service,Badinelli,18337,3,3.76,15,80.0,20.0,0.0,0.0,0.0,0
BIT,4434,Comp Sim In Bus,Rees,18597,3,3.81,35,85.7,11.4,2.9,0.0,0.0,0
