department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ECE,1574,Engr Problem Solving with C++,McPherson,82595,3,3.46,37,70.3,21.6,2.7,0.0,5.4,5
ECE,1574,Engr Problem Solving with C++,McPherson,82596,3,3.64,42,71.4,21.4,7.1,0.0,0.0,1
ECE,1574,Engr Problem Solving with C++,McPherson,82597,3,3.14,70,55.7,24.3,10.0,4.3,5.7,14
ECE,2004,Electric Circuit Analysis,Poon,82598,3,2.37,108,20.4,28.7,33.3,3.7,13.9,21
ECE,2004,Electric Circuit Analysis,Safaai-Jazi,82599,3,2.62,102,19.6,48.0,18.6,4.9,8.8,13
ECE,2014,Engr Professionalism ECE,Ball,82600,2,3.80,148,88.5,6.8,4.1,0.7,0.0,0
ECE,2014,Engr Professionalism ECE,Ball,82601,2,3.78,141,87.2,9.9,1.4,0.0,1.4,0
ECE,2054,Applied Electrical Theory,De La Reelopez,82602,3,2.63,107,29.0,29.9,28.0,8.4,4.7,12
ECE,2074,Electic Circuit Analysis Lab,Ball,82603,1,2.60,231,15.6,48.1,24.2,5.6,6.5,6
ECE,2204,Electronics,Hudait,82604,3,3.28,95,30.5,63.2,6.3,0.0,0.0,1
ECE,2204,Electronics,Koh,82605,3,3.15,76,30.3,59.2,9.2,1.3,0.0,1
ECE,2274,Elctrnc Netwks Lab I,Cooper,82607,1,3.61,14,64.3,28.6,7.1,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82608,1,3.70,13,76.9,23.1,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82609,1,3.88,11,90.9,9.1,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82610,1,3.57,11,54.5,45.5,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82611,1,4.00,11,100.0,0.0,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82612,1,3.87,15,86.7,13.3,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82613,1,3.96,15,100.0,0.0,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82614,1,2.98,12,58.3,8.3,25.0,0.0,8.3,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82615,1,3.96,14,100.0,0.0,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82616,1,3.95,12,100.0,0.0,0.0,0.0,0.0,0
ECE,2274,Elctrnc Netwks Lab I,Cooper,82617,1,3.61,11,90.9,0.0,0.0,0.0,9.1,0
