department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
AOE,2074,Computational Methods,Wang,80317,2,2.63,27,25.9,18.5,44.4,11.1,0.0,0
AOE,2074,Computational Methods,Wang,80318,2,2.70,31,22.6,38.7,25.8,12.9,0.0,0
AOE,2074,Computational Methods,Wang,80319,2,3.01,33,30.3,51.5,12.1,6.1,0.0,0
AOE,2074,Computational Methods,Wang,80321,2,3.02,35,34.3,37.1,25.7,0.0,2.9,0
AOE,2104,Intro to Aerospace Engineering,Paterson,80322,2,3.40,63,47.6,47.6,4.8,0.0,0.0,0
AOE,2104,Intro to Aerospace Engineering,Paterson,80323,2,3.22,50,34.0,54.0,12.0,0.0,0.0,0
AOE,2204,Intro to Ocean Engineering,Xiao,80324,3,3.57,19,68.4,31.6,0.0,0.0,0.0,0
AOE,3014,Aero/Hydrodynamics,Roy,80326,3,2.12,75,9.3,21.3,45.3,18.7,5.3,2
AOE,3024,Thin-Walled Structures,Seidel,80327,3,3.09,63,28.6,57.1,11.1,1.6,1.6,1
AOE,3024,Thin-Walled Structures,Seidel,80328,3,3.29,68,44.1,47.1,7.4,1.5,0.0,0
AOE,3034,Vehicle Vibration and Control,Philen,80329,3,3.28,79,41.8,44.3,13.9,0.0,0.0,0
AOE,3034,Vehicle Vibration and Control,Philen,80330,3,2.83,56,21.4,48.2,23.2,7.1,0.0,1
AOE,3044,Boundary Layer Theory,Schetz,80331,3,2.75,121,19.8,47.9,23.1,7.4,1.7,1
AOE,4065,Aircraft Design,Raj,80334,3,3.30,67,38.8,55.2,6.0,0.0,0.0,0
AOE,4134,Astromechanics,Black,80335,3,3.41,76,42.1,55.3,2.6,0.0,0.0,2
AOE,4134,Astromechanics,Black,80336,3,3.25,71,42.3,47.9,9.9,0.0,0.0,2
AOE,4154,Aero Engr Lab,Ma,80337,1,3.50,21,61.9,38.1,0.0,0.0,0.0,0
AOE,4154,Aero Engr Lab,Ma,80339,1,3.31,20,40.0,60.0,0.0,0.0,0.0,0
AOE,4154,Aero Engr Lab,Ma,80340,1,3.42,21,52.4,47.6,0.0,0.0,0.0,0
AOE,4154,Aero Engr Lab,Ma,80343,1,3.26,22,31.8,68.2,0.0,0.0,0.0,0
AOE,4154,Aero Engr Lab,Ma,80344,1,3.38,10,50.0,50.0,0.0,0.0,0.0,0
AOE,4154,Aero Engr Lab,Ma,80345,1,3.04,11,45.5,36.4,9.1,0.0,9.1,0
AOE,4165,Spacecraft Design,Shinpaugh,80347,3,3.44,32,50.0,46.9,3.1,0.0,0.0,0
AOE,4234,Aerospace Propulsion Systems,Lowe,80348,3,2.98,105,29.5,45.7,20.0,2.9,1.9,2
AOE,4254,Ocean Engineering Laboratory,Neu,80349,1,3.06,10,40.0,30.0,20.0,10.0,0.0,0
AOE,4254,Ocean Engineering Laboratory,Neu,80350,1,3.55,10,70.0,30.0,0.0,0.0,0.0,0
AOE,4264,Principles Naval Engineering,Brown,80352,3,3.32,17,64.7,17.6,11.8,0.0,5.9,0
AOE,4265,Ship Design,Brown,80353,3,3.44,22,63.6,31.8,0.0,4.5,0.0,0
AOE,4994,Undergraduate Research,Black,80372,3,4.00,15,100.0,0.0,0.0,0.0,0.0,0
AOE,5024,Vehicle Structures,Kapania,80380,3,3.54,43,51.2,46.5,2.3,0.0,0.0,0
AOE,5104,Adv Aero Hydrody,Devenport,80381,3,3.46,57,54.4,42.1,1.8,0.0,1.8,0
AOE,5135,Vehicle Propulsion,Ma,80382,3,3.46,14,64.3,28.6,7.1,0.0,0.0,0
AOE,5204,Vehicle Dynamics and Control,Sultan,80383,3,3.29,51,41.2,51.0,7.8,0.0,0.0,0
AOE,5434,Adv Intro Comp Fluid Dynamics,Choi,80385,3,3.85,19,89.5,10.5,0.0,0.0,0.0,0
AOE,4334,Ship Dynamics,Woolsey,86801,3,3.11,31,38.7,41.9,16.1,3.2,0.0,0
AOE,3014,Aero/Hydrodynamics,Kuester,87965,3,2.31,73,9.6,30.1,42.5,17.8,0.0,2
AOE,5104,Adv Aero Hydrody,Devenport,88869,3,3.05,26,26.9,50.0,19.2,3.8,0.0,0

