department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
AOE,3054,AOE Experimental Methods,Borgoltz,10350,3,3.55,122,61.5,36.1,2.5,0.0,0.0,1
AOE,3094,Materials for Aero & Ocean Eng,Clark,10351,3,3.17,58,31.0,62.1,6.9,0.0,0.0,3
AOE,3094,Materials for Aero & Ocean Eng,Aning,10352,3,2.87,73,16.4,58.9,21.9,2.7,0.0,3
AOE,3104,Aircraft Performance,Woolsey,10353,3,3.58,120,57.5,42.5,0.0,0.0,0.0,1
AOE,3114,Compressible Aerodynamics,Devenport,10354,3,2.75,109,28.4,34.9,23.9,10.1,2.8,0
AOE,3124,Aerospace Structures,Patil,10355,3,3.29,47,55.3,27.7,10.6,4.3,2.1,0
AOE,3124,Aerospace Structures,Patil,10356,3,3.43,66,65.2,24.2,6.1,1.5,3.0,1
AOE,3134,Stability and Control,Woolsey,10357,3,2.94,81,29.6,49.4,13.6,2.5,4.9,0
AOE,3204,Naval Architecture,Wang,10358,3,2.90,29,20.7,58.6,13.8,0.0,6.9,0
AOE,3224,Ocean Structures,Hughes,10359,3,3.62,40,75.0,22.5,0.0,2.5,0.0,0
AOE,3264,Res & Prop Of Ships,Neu,10360,3,2.45,35,20.0,28.6,31.4,5.7,14.3,1
AOE,4066,Aircraft Design,Raj,10362,3,3.38,92,52.2,33.7,14.1,0.0,0.0,0
AOE,4084,Engr Design Optimiz,Canfield,10363,3,3.51,20,65.0,30.0,5.0,0.0,0.0,0
AOE,4140,Spacecraft Dynamics & Control,Sultan,10365,3,2.94,32,31.3,43.8,18.8,6.3,0.0,1
AOE,4166,Spacecraft Design,Shinpaugh,10366,3,3.54,54,59.3,38.9,1.9,0.0,0.0,0
AOE,4174,Spacecraft Propulsion,Srinivasan,10367,3,3.47,20,55.0,40.0,5.0,0.0,0.0,1
AOE,4214,Ocean Wave Mechanics,Xiao,10368,3,3.58,77,68.8,23.4,3.9,2.6,1.3,0
AOE,4244,Marine Engineering,Xiao,10369,3,3.61,37,78.4,18.9,0.0,2.7,0.0,1
AOE,4266,Ship Design,Brown,10370,3,3.45,22,54.5,40.9,4.5,0.0,0.0,0
AOE,4404,Applied Numerical Methods,Choi,10371,3,3.52,51,60.8,37.3,0.0,2.0,0.0,2
AOE,4994,Undergraduate Research,Brown,10391,3,3.60,12,75.0,25.0,0.0,0.0,0.0,0
AOE,4064,Fluid Flows in Nature,Schetz,16917,3,3.30,177,41.2,49.2,8.5,1.1,0.0,0
AOE,4404,Applied Numerical Methods,Choi,16921,3,3.22,20,35.0,60.0,0.0,5.0,0.0,0
AOE,5144,Boundary-Layer Theory,Schetz,16925,3,3.78,10,90.0,10.0,0.0,0.0,0.0,0
AOE,4124,Configuration Aerodynamics,Mason,18847,3,3.23,13,53.8,30.8,7.7,0.0,7.7,0
AOE,5234,Orbital Mechanics,Black,18948,3,3.89,15,93.3,6.7,0.0,0.0,0.0,0
AOE,6145,Computational Fluid Dynamics,Roy,19346,3,3.51,10,60.0,40.0,0.0,0.0,0.0,0
AOE,4984,SS:Avionics,Philen,20262,3,3.88,38,94.7,5.3,0.0,0.0,0.0,0
AOE,2984,SS:Fund of Flt Training,Miller,20383,2,3.79,38,81.6,18.4,0.0,0.0,0.0,0
AOE,5984,SS:Data AnlysisFluid DynResrch,Lowe,20454,3,4.00,11,100.0,0.0,0.0,0.0,0.0,0
AOE,5114,High Speed Aerodynamics,Adams,20493,3,3.43,10,40.0,60.0,0.0,0.0,0.0,0

