department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
CS,1044,Intro Prog in C,Soundararajan,82145,3,2.74,168,24.4,47.0,17.3,6.5,4.8,15
CS,1044,Intro Prog in C,Soundararajan,82146,3,2.80,152,21.7,54.6,15.1,3.9,4.6,9
CS,1054,Intro to Programming in Java,Lewis,82148,3,3.16,30,26.7,53.3,20.0,0.0,0.0,1
CS,1054,Intro to Programming in Java,Lewis,82149,3,3.31,31,38.7,54.8,6.5,0.0,0.0,3
CS,1054,Intro to Programming in Java,Lewis,82150,3,3.33,32,43.8,50.0,6.3,0.0,0.0,2
CS,1054,Intro to Programming in Java,Lewis,82151,3,3.37,33,51.5,39.4,9.1,0.0,0.0,2
CS,1054,Intro to Programming in Java,Lewis,82152,3,3.17,31,38.7,48.4,9.7,0.0,3.2,1
CS,1054,Intro to Programming in Java,Lewis,82153,3,2.90,26,23.1,57.7,11.5,3.8,3.8,1
CS,1064,Intro to Programming in Python,Monti,82154,3,3.38,108,59.3,27.8,7.4,3.7,1.9,9
CS,1114,Intro to Software Design,Leal,82155,3,2.65,32,31.3,31.3,21.9,9.4,6.3,3
CS,1114,Intro to Software Design,Barnette,82156,3,2.54,25,16.0,48.0,16.0,16.0,4.0,5
CS,1114,Intro to Software Design,Leal,82157,3,2.33,30,10.0,43.3,23.3,13.3,10.0,3
CS,1114,Intro to Software Design,Leal,82158,3,2.30,22,22.7,27.3,22.7,13.6,13.6,3
CS,1114,Intro to Software Design,Barnette,82159,3,2.41,26,7.7,38.5,38.5,15.4,0.0,4
CS,1114,Intro to Software Design,Barnette,82160,3,2.41,26,26.9,26.9,23.1,15.4,7.7,2
CS,1114,Intro to Software Design,Barnette,82161,3,2.18,22,13.6,31.8,27.3,22.7,4.5,4
CS,1114,Intro to Software Design,Barnette,82162,3,2.74,32,25.0,43.8,18.8,9.4,3.1,5
CS,1114,Intro to Software Design,Barnette,82163,3,2.36,18,22.2,27.8,33.3,5.6,11.1,7
CS,2104,Intro to Problem Solving in CS,Watson,82166,3,2.63,45,11.1,53.3,24.4,6.7,4.4,1
CS,2104,Intro to Problem Solving in CS,Ellis,82167,3,3.60,55,67.3,29.1,3.6,0.0,0.0,1
CS,2114,Softw Des & Data Structures,Barnette,82168,3,2.65,27,11.1,55.6,29.6,3.7,0.0,1
CS,2114,Softw Des & Data Structures,Ellis,82169,3,2.94,33,18.2,60.6,21.2,0.0,0.0,1
CS,2114,Softw Des & Data Structures,Ellis,82170,3,2.49,33,21.2,30.3,33.3,6.1,9.1,3
CS,2114,Softw Des & Data Structures,Ellis,82171,3,2.48,32,6.3,50.0,34.4,6.3,3.1,7
CS,2114,Softw Des & Data Structures,Barnette,82172,3,2.66,27,18.5,33.3,40.7,7.4,0.0,5
CS,2114,Softw Des & Data Structures,Ellis,82173,3,2.59,33,12.1,42.4,39.4,3.0,3.0,1
CS,2114,Softw Des & Data Structures,Barnette,82174,3,2.91,30,36.7,36.7,23.3,0.0,3.3,2
CS,2114,Softw Des & Data Structures,Barnette,82175,3,2.47,26,7.7,42.3,42.3,3.8,3.8,1
CS,2304,Self Study Prog Sys,Gusukuma,82176,1,3.43,10,70.0,20.0,0.0,0.0,10.0,0
CS,2505,Intro Computer Organization,Monti,82177,3,2.88,74,31.1,44.6,13.5,4.1,6.8,10
CS,2505,Intro Computer Organization,Monti,82178,3,3.32,85,50.6,36.5,9.4,2.4,1.2,9
CS,2506,Intro to Computer Organization,McQuain,82179,3,2.46,60,13.3,38.3,36.7,5.0,6.7,2
CS,2506,Intro to Computer Organization,McQuain,82180,3,2.73,61,21.3,32.8,44.3,0.0,1.6,1
CS,2974,Independent Study,Back,82182,3,4.00,14,100.0,0.0,0.0,0.0,0.0,0
CS,2974,Independent Study,Back,82183,1,3.96,10,90.0,10.0,0.0,0.0,0.0,0
CS,2974,Independent Study,Katz,82183,1,3.96,10,90.0,10.0,0.0,0.0,0.0,0
CS,2974,Independent Study,Leal,82183,1,3.96,10,90.0,10.0,0.0,0.0,0.0,0
CS,2974,Independent Study,McQuain,82183,1,3.96,10,90.0,10.0,0.0,0.0,0.0,0
CS,2974,Independent Study,Monti,82183,1,3.96,10,90.0,10.0,0.0,0.0,0.0,0
CS,3114,Data Structures and Algorithms,Cao,82184,3,2.75,67,22.4,40.3,29.9,3.0,4.5,6
CS,3114,Data Structures and Algorithms,Barnette,82185,3,2.54,86,8.1,57.0,24.4,5.8,4.7,11
CS,3214,Computer Systems,McQuain,82186,3,2.56,60,20.0,31.7,40.0,5.0,3.3,2
CS,3214,Computer Systems,McQuain,82187,3,2.60,64,20.3,29.7,43.8,3.1,3.1,0
CS,3304,Comparative Languages,Arthur,82188,3,3.27,99,57.6,23.2,12.1,5.1,2.0,2
CS,3414,Numerical Methods,Sandu,82189,3,2.51,30,30.0,23.3,20.0,23.3,3.3,0
CS,3604,Professionalism in Computing,Dunlap,82190,3,3.59,54,72.2,20.4,7.4,0.0,0.0,1
CS,3604,Professionalism in Computing,Dunlap,82191,3,3.48,39,56.4,35.9,5.1,2.6,0.0,0
CS,3704,Intermed Software Des,Soundararajan,82193,3,3.04,56,21.4,60.7,17.9,0.0,0.0,0
CS,3714,Mobile Software Development,Balci,82194,3,3.41,58,55.2,34.5,8.6,1.7,0.0,1
CS,3724,Human-Computr Intrctn,McCrickard,82195,3,3.75,59,81.4,13.6,5.1,0.0,0.0,0
CS,3744,Intro GUI Programming/Graphics,Gracanin,82196,3,2.81,56,41.1,30.4,10.7,7.1,10.7,8
CS,3824,Intro Comp Bio Bioinformatics,Heath,82197,3,2.99,14,42.9,42.9,0.0,7.1,7.1,1
CS,4104,Data and Algorithm Analysis,Raghvendra,82198,3,2.65,81,16.0,37.0,39.5,7.4,0.0,0
CS,4124,Theory of Computation,Watson,82199,3,2.64,33,24.2,42.4,15.2,15.2,3.0,2
