department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
CS,5754,Virtual Environments,Polys,12571,3,3.94,16,100.0,0.0,0.0,0.0,0.0,0
CS,6204,TS:Cloud Computing,Butt,12589,3,3.89,21,100.0,0.0,0.0,0.0,0.0,0
CS,6724,TS:Desig Change to Pow/Auth,Tatar,12592,3,3.77,14,85.7,14.3,0.0,0.0,0.0,0
CS,5234,Advanced Parallel Computation,Sandu,19515,3,3.66,23,69.6,30.4,0.0,0.0,0.0,0
CS,5314,Programming Languages,Ryder,19516,3,3.55,19,57.9,42.1,0.0,0.0,0.0,0
CS,5704,Software Engineering,Meng,19517,3,3.52,17,64.7,35.3,0.0,0.0,0.0,0
CS,5854,Computational Systems Biology,Murali,19518,3,3.53,16,62.5,37.5,0.0,0.0,0.0,0
CS,6704,TS:Software Refactoring,Tilevich,19520,3,3.68,18,83.3,11.1,5.6,0.0,0.0,0
CS,3704,Intermed Software Des,Servant Cortes,19527,3,3.14,38,34.2,50.0,15.8,0.0,0.0,1
CS,1114,Intro to Software Design,Edwards,19559,3,2.33,23,4.3,56.5,17.4,13.0,8.7,4
CS,4984,SS: Cloud Software Development,Balci,19914,3,3.21,63,50.8,33.3,4.8,11.1,0.0,1
CS,2984,"SS: Intro to Comp Thinking""",Kafura,19921,3,2.96,47,34.0,40.4,19.1,4.3,2.1,2
CS,4644,Creative Computing Studio,Kelliher,20098,3,3.64,30,70.0,30.0,0.0,0.0,0.0,0
CS,2506,Intro to Computer Organization,McQuain,20099,3,2.80,60,28.3,28.3,38.3,5.0,0.0,3
CS,6604,Adv TS: Data & Info Event Mdlg,Ramakrishnan,20244,3,3.72,14,78.6,21.4,0.0,0.0,0.0,0
CS,5604,Info Storage and Ret,Lu,20245,3,3.56,15,60.0,40.0,0.0,0.0,0.0,0
CS,1114,Intro to Software Design,Irwin,20405,3,1.55,17,0.0,29.4,23.5,23.5,23.5,8
